date,year,month,season,style,share
2020-01-01,2020,1,winter,casual,0.0947
2020-01-01,2020,1,winter,elegant,0.1777
2020-01-01,2020,1,winter,sporty,0.078
2020-01-01,2020,1,winter,business,0.1769
2020-01-01,2020,1,winter,street,0.0952
2020-01-01,2020,1,winter,sweet,0.1404
2020-01-01,2020,1,winter,japanese,0.111
2020-01-01,2020,1,winter,korean,0.126
2020-02-01,2020,2,winter,casual,0.1078
2020-02-01,2020,2,winter,elegant,0.1556
2020-02-01,2020,2,winter,sporty,0.0908
2020-02-01,2020,2,winter,business,0.1601
2020-02-01,2020,2,winter,street,0.1063
2020-02-01,2020,2,winter,sweet,0.1413
2020-02-01,2020,2,winter,japanese,0.1113
2020-02-01,2020,2,winter,korean,0.1268
2020-03-01,2020,3,spring,casual,0.1098
2020-03-01,2020,3,spring,elegant,0.1172
2020-03-01,2020,3,spring,sporty,0.1107
2020-03-01,2020,3,spring,business,0.077
2020-03-01,2020,3,spring,street,0.1186
2020-03-01,2020,3,spring,sweet,0.1457
2020-03-01,2020,3,spring,japanese,0.1623
2020-03-01,2020,3,spring,korean,0.1588
2020-04-01,2020,4,spring,casual,0.1112
2020-04-01,2020,4,spring,elegant,0.1149
2020-04-01,2020,4,spring,sporty,0.1149
2020-04-01,2020,4,spring,business,0.0828
2020-04-01,2020,4,spring,street,0.1058
2020-04-01,2020,4,spring,sweet,0.1534
2020-04-01,2020,4,spring,japanese,0.1612
2020-04-01,2020,4,spring,korean,0.1558
2020-05-01,2020,5,spring,casual,0.1156
2020-05-01,2020,5,spring,elegant,0.1265
2020-05-01,2020,5,spring,sporty,0.11
2020-05-01,2020,5,spring,business,0.0868
2020-05-01,2020,5,spring,street,0.1048
2020-05-01,2020,5,spring,sweet,0.1421
2020-05-01,2020,5,spring,japanese,0.1667
2020-05-01,2020,5,spring,korean,0.1475
2020-06-01,2020,6,summer,casual,0.1452
2020-06-01,2020,6,summer,elegant,0.0792
2020-06-01,2020,6,summer,sporty,0.1918
