temperature_bin,weather_condition,season,category
hot,sunny,summer,bottom
warm,rainy,spring,top
cool,cloudy,winter,top
hot,sunny,winter,top
cool,rainy,summer,top
cold,sunny,winter,top
cold,sunny,summer,outerwear
cold,snowy,winter,outerwear
cold,snowy,winter,top
cold,cloudy,spring,outerwear
cold,snowy,spring,top
cold,snowy,winter,top
warm,snowy,spring,top
cool,rainy,summer,top
cold,cloudy,winter,top
cool,rainy,winter,outerwear
cold,sunny,summer,top
cool,cloudy,summer,bottom
hot,rainy,winter,outerwear
hot,snowy,winter,outerwear
cold,cloudy,autumn,outerwear
hot,cloudy,summer,top
warm,cloudy,spring,bottom
cool,rainy,summer,top
warm,rainy,spring,top
cool,cloudy,autumn,outerwear
cool,snowy,autumn,outerwear
cool,sunny,autumn,top
warm,sunny,spring,top
cold,rainy,autumn,top
hot,sunny,autumn,dress
cool,rainy,autumn,top
cold,rainy,summer,top
warm,cloudy,summer,bottom
cool,sunny,summer,bottom
cold,sunny,summer,outerwear
cold,rainy,winter,top
cold,cloudy,autumn,outerwear
warm,rainy,spring,top
cold,snowy,spring,top
cold,cloudy,spring,top
cool,sunny,summer,outerwear
warm,rainy,spring,bottom
hot,rainy,summer,top
cool,rainy,autumn,top
hot,sunny,autumn,dress
cool,cloudy,winter,top
cool,rainy,autumn,outerwear
warm,cloudy,spring,top
warm,cloudy,summer,top
warm,snowy,summer,top
cold,rainy,winter,top
cold,rainy,summer,top
cold,snowy,autumn,outerwear
warm,snowy,summer,top
cool,sunny,summer,outerwear
hot,sunny,spring,top
cold,cloudy,summer,top
warm,cloudy,autumn,top
warm,cloudy,winter,outerwear
cold,rainy,spring,outerwear
cold,cloudy,autumn,outerwear
warm,cloudy,autumn,bottom
warm,sunny,summer,dress
cool,snowy,winter,outerwear
cool,sunny,spring,top
cold,snowy,winter,top
hot,cloudy,winter,top
hot,cloudy,autumn,bottom
hot,cloudy,spring,dress
cold,cloudy,spring,outerwear
cold,sunny,autumn,outerwear
warm,cloudy,autumn,dress
cold,sunny,autumn,outerwear
cold,cloudy,summer,outerwear
cool,rainy,summer,outerwear
cool,sunny,summer,outerwear
warm,cloudy,autumn,bottom
warm,sunny,summer,bottom
warm,sunny,summer,bottom
cool,snowy,summer,top
hot,cloudy,autumn,dress
hot,snowy,autumn,outerwear
cold,snowy,autumn,top
hot,snowy,spring,outerwear
cool,cloudy,summer,bottom
cold,snowy,winter,top
hot,sunny,summer,top
cool,rainy,winter,top
cold,cloudy,summer,outerwear
cold,rainy,spring,outerwear
cold,cloudy,summer,outerwear
warm,snowy,summer,outerwear
cool,snowy,spring,top
hot,sunny,summer,dress
cold,rainy,spring,top
cool,snowy,winter,outerwear
cold,snowy,winter,top
warm,cloudy,spring,bottom
hot,cloudy,winter,top
warm,snowy,autumn,top
warm,cloudy,autumn,top
warm,sunny,summer,dress
warm,cloudy,summer,dress
